Time,Displacement,Force
0.699,0.0535,0.0253
0.7,0.0535,0.0253
0.701,0.0536,0.0254
0.702,0.0537,0.0254
0.703,0.0538,0.0254
0.704,0.0539,0.0255
0.705,0.0539,0.0255
0.706,0.054,0.0256
0.707,0.0541,0.0256
0.708,0.0542,0.0256
0.709,0.0543,0.0257
0.71,0.0543,0.0257
0.711,0.0544,0.0257
0.712,0.0545,0.0258
0.713,0.0546,0.0258
0.714,0.0547,0.0259
0.715,0.0548,0.0259
0.716,0.0548,0.0259
0.717,0.0549,0.026
0.718,0.055,0.026
0.719,0.0551,0.0261
0.72,0.0552,0.0261
0.721,0.0553,0.0261
0.722,0.0554,0.0262
0.723,0.0555,0.0262
0.724,0.0556,0.0263
0.725,0.0556,0.0263
0.726,0.0557,0.0263
0.727,0.0558,0.0264
0.728,0.0559,0.0264
0.729,0.056,0.0264
0.73,0.0561,0.0265
0.731,0.0562,0.0265
0.732,0.0563,0.0266
0.733,0.0564,0.0266
0.734,0.0565,0.0266
0.735,0.0565,0.0267
0.736,0.0566,0.0267
0.737,0.0567,0.0267
0.738,0.0568,0.0268
0.739,0.0569,0.0268
0.74,0.057,0.0268
0.741,0.0571,0.0269
0.742,0.0572,0.0269
0.743,0.0573,0.027
0.744,0.0574,0.027
0.745,0.0574,0.027
0.746,0.0575,0.0271
0.747,0.0576,0.0271
0.748,0.0577,0.0271
0.749,0.0578,0.0272
0.75,0.0579,0.0272
0.751,0.058,0.0272
0.752,0.058,0.0273
0.753,0.0581,0.0273
0.754,0.0582,0.0274
0.755,0.0583,0.0274
0.756,0.0584,0.0274
0.757,0.0585,0.0275
0.758,0.0585,0.0275
0.759,0.0586,0.0275
0.76,0.0587,0.0276
0.761,0.0588,0.0276
0.762,0.0589,0.0276
0.763,0.059,0.0277
0.764,0.059,0.0277
0.765,0.0591,0.0278
0.766,0.0592,0.0278
0.767,0.0593,0.0278
0.768,0.0594,0.0279
0.769,0.0594,0.0279
0.77,0.0595,0.0279
0.771,0.0596,0.028
0.772,0.0597,0.028
0.773,0.0598,0.0281
0.774,0.0598,0.0281
0.775,0.0599,0.0281
0.776,0.06,0.0282
0.777,0.0601,0.0282
0.778,0.0602,0.0283
0.779,0.0603,0.0283
0.78,0.0603,0.0284
0.781,0.0604,0.0284
0.782,0.0605,0.0285
0.783,0.0606,0.0285
0.784,0.0607,0.0286
0.785,0.0608,0.0286
0.786,0.0608,0.0286
0.787,0.0609,0.0287
0.788,0.061,0.0287
0.789,0.0611,0.0288
0.79,0.0612,0.0288
0.791,0.0613,0.0288
0.792,0.0613,0.0289
0.793,0.0614,0.0289
0.794,0.0615,0.0289
0.795,0.0616,0.029
0.796,0.0617,0.029
0.797,0.0618,0.0291
0.798,0.0619,0.0291
0.799,0.0619,0.0291
0.8,0.062,0.0292
0.801,0.0621,0.0292
0.802,0.0622,0.0292
0.803,0.0623,0.0293
0.804,0.0624,0.0293
0.805,0.0624,0.0293
0.806,0.0625,0.0293
0.807,0.0626,0.0294
0.808,0.0627,0.0294
